S (m),X Coordinate (m),Y Coordinate (m),Z Coordinate (m),Temperature (°C),Time (s)
8.33E-02,-8.33E-02,0,0,1.70E-07,0.1
8.75E-02,-8.75E-02,0,0,-1.99E-07,0.1
9.17E-02,-9.17E-02,0,0,-3.97E-08,0.1
9.58E-02,-9.58E-02,0,0,9.02E-08,0.1
0.1,-0.1,0,0,6.06E-08,0.1
0.10417,-0.10417,0,0,-8.61E-08,0.1
0.10833,-0.10833,0,0,-5.52E-08,0.1
0.1125,-0.1125,0,0,4.65E-08,0.1
0.11667,-0.11667,0,0,3.23E-08,0.1
0.12083,-0.12083,0,0,-1.71E-08,0.1
0.125,-0.125,0,0,-1.39E-08,0.1
0.12917,-0.12917,0,0,3.86E-09,0.1
0.13333,-0.13333,0,0,3.70E-09,0.1
0.1375,-0.1375,0,0,1.77E-09,0.1
0.14167,-0.14167,0,0,-3.57E-11,0.1
0.14583,-0.14583,0,0,-2.70E-09,0.1
0.15,-0.15,0,0,-2.88E-08,0.1
0.15417,-0.15417,0,0,6.23E-08,0.1
0.15833,-0.15833,0,0,-9.12E-08,0.1
0.1625,-0.1625,0,0,-6.64E-08,0.1
0.16667,-0.16667,0,0,-4.49E-08,0.1
0.17083,-0.17083,0,0,-5.64E-07,0.1
0.175,-0.175,0,0,7.91E-06,0.1
0.17917,-0.17917,0,0,4.37E-06,0.1
0.18333,-0.18333,0,0,5.48E-06,0.1
0.1875,-0.1875,0,0,4.46E-04,0.1
0.19167,-0.19167,0,0,-1.30E-04,0.1
0.19583,-0.19583,0,0,7.61E-03,0.1
0.2,-0.2,0,0,5.61E-02,0.1
0,0,0,0,500,1
4.17E-03,-4.17E-03,0,0,361.99,1
8.33E-03,-8.33E-03,0,0,241.47,1
1.25E-02,-1.25E-02,0,0,143.73,1
1.67E-02,-1.67E-02,0,0,78.025,1
2.08E-02,-2.08E-02,0,0,37.297,1
2.50E-02,-2.50E-02,0,0,15.165,1
2.92E-02,-2.92E-02,0,0,6.3548,1
3.33E-02,-3.33E-02,0,0,2.0244,1
3.75E-02,-3.75E-02,0,0,0.83228,1
4.17E-02,-4.17E-02,0,0,0.22124,1
4.58E-02,-4.58E-02,0,0,9.25E-02,1
5.00E-02,-5.00E-02,0,0,2.16E-02,1
5.42E-02,-5.42E-02,0,0,9.17E-03,1
5.83E-02,-5.83E-02,0,0,1.99E-03,1
6.25E-02,-6.25E-02,0,0,8.33E-04,1
6.67E-02,-6.67E-02,0,0,1.74E-04,1
7.08E-02,-7.08E-02,0,0,7.08E-05,1
7.50E-02,-7.50E-02,0,0,1.49E-05,1
7.92E-02,-7.92E-02,0,0,5.69E-06,1
8.33E-02,-8.33E-02,0,0,1.22E-06,1
8.75E-02,-8.75E-02,0,0,4.33E-07,1
9.17E-02,-9.17E-02,0,0,9.95E-08,1
9.58E-02,-9.58E-02,0,0,3.37E-08,1
0.1,-0.1,0,0,7.59E-09,1
0.10417,-0.10417,0,0,1.51E-09,1
0.10833,-0.10833,0,0,4.93E-10,1
0.1125,-0.1125,0,0,2.50E-10,1
0.11667,-0.11667,0,0,1.81E-10,1
0.12083,-0.12083,0,0,5.42E-10,1
0.125,-0.125,0,0,1.48E-09,1
0.12917,-0.12917,0,0,7.27E-09,1
0.13333,-0.13333,0,0,1.78E-08,1
0.1375,-0.1375,0,0,8.76E-08,1
0.14167,-0.14167,0,0,2.07E-07,1
0.14583,-0.14583,0,0,9.92E-07,1
0.15,-0.15,0,0,2.31E-06,1
0.15417,-0.15417,0,0,1.04E-05,1
0.15833,-0.15833,0,0,2.46E-05,1
0.1625,-0.1625,0,0,9.83E-05,1
0.16667,-0.16667,0,0,2.38E-04,1
0.17083,-0.17083,0,0,8.11E-04,1
0.175,-0.175,0,0,1.98E-03,1
0.17917,-0.17917,0,0,5.52E-03,1
0.18333,-0.18333,0,0,1.27E-02,1
0.1875,-0.1875,0,0,2.87E-02,1
0.19167,-0.19167,0,0,5.75E-02,1
0.19583,-0.19583,0,0,0.10635,1
0.2,-0.2,0,0,0.1798,1
0,0,0,0,500,10
4.17E-03,-4.17E-03,0,0,456.46,10
8.33E-03,-8.33E-03,0,0,413.46,10
1.25E-02,-1.25E-02,0,0,371.45,10
1.67E-02,-1.67E-02,0,0,331,10
2.08E-02,-2.08E-02,0,0,292.4,10
2.50E-02,-2.50E-02,0,0,256.14,10
2.92E-02,-2.92E-02,0,0,222.38,10
3.33E-02,-3.33E-02,0,0,191.46,10
3.75E-02,-3.75E-02,0,0,162.77,10
4.17E-02,-4.17E-02,0,0,136.85,10
4.58E-02,-4.58E-02,0,0,113.58,10
5.00E-02,-5.00E-02,0,0,93.053,10
5.42E-02,-5.42E-02,0,0,75.188,10
5.83E-02,-5.83E-02,0,0,59.728,10
6.25E-02,-6.25E-02,0,0,46.863,10
6.67E-02,-6.67E-02,0,0,36.1,10
7.08E-02,-7.08E-02,0,0,27.513,10
7.50E-02,-7.50E-02,0,0,20.576,10
7.92E-02,-7.92E-02,0,0,15.246,10
8.33E-02,-8.33E-02,0,0,11.088,10
8.75E-02,-8.75E-02,0,0,7.9946,10
9.17E-02,-9.17E-02,0,0,5.6638,10
9.58E-02,-9.58E-02,0,0,3.9765,10
0.1,-0.1,0,0,2.7491,10
0.10417,-0.10417,0,0,1.8795,10
0.10833,-0.10833,0,0,1.2711,10
0.1125,-0.1125,0,0,0.8469,10
0.11667,-0.11667,0,0,0.56243,10
0.12083,-0.12083,0,0,0.36713,10
0.125,-0.125,0,0,0.24222,10
0.12917,-0.12917,0,0,0.15857,10
0.13333,-0.13333,0,0,0.10876,10
0.1375,-0.1375,0,0,7.78E-02,10
0.14167,-0.14167,0,0,6.30E-02,10
0.14583,-0.14583,0,0,5.75E-02,10
0.15,-0.15,0,0,6.04E-02,10
0.15417,-0.15417,0,0,6.92E-02,10
0.15833,-0.15833,0,0,8.37E-02,10
0.1625,-0.1625,0,0,0.10349,10
0.16667,-0.16667,0,0,0.1286,10
0.17083,-0.17083,0,0,0.15948,10
0.175,-0.175,0,0,0.19638,10
0.17917,-0.17917,0,0,0.23992,10
0.18333,-0.18333,0,0,0.29045,10
0.1875,-0.1875,0,0,0.34847,10
0.19167,-0.19167,0,0,0.41434,10
0.19583,-0.19583,0,0,0.48828,10
0.2,-0.2,0,0,0.57056,10
0,0,0,0,500,60
4.17E-03,-4.17E-03,0,0,482.25,60
8.33E-03,-8.33E-03,0,0,464.53,60
1.25E-02,-1.25E-02,0,0,446.89,60
1.67E-02,-1.67E-02,0,0,429.35,60
2.08E-02,-2.08E-02,0,0,411.95,60
2.50E-02,-2.50E-02,0,0,394.73,60
2.92E-02,-2.92E-02,0,0,377.71,60
3.33E-02,-3.33E-02,0,0,360.94,60
3.75E-02,-3.75E-02,0,0,344.42,60
4.17E-02,-4.17E-02,0,0,328.21,60
4.58E-02,-4.58E-02,0,0,312.32,60
5.00E-02,-5.00E-02,0,0,296.78,60
5.42E-02,-5.42E-02,0,0,281.61,60
5.83E-02,-5.83E-02,0,0,266.84,60
6.25E-02,-6.25E-02,0,0,252.48,60
6.67E-02,-6.67E-02,0,0,238.55,60
7.08E-02,-7.08E-02,0,0,225.06,60
7.50E-02,-7.50E-02,0,0,212.03,60
7.92E-02,-7.92E-02,0,0,199.45,60
8.33E-02,-8.33E-02,0,0,187.28,60
8.75E-02,-8.75E-02,0,0,175.58,60
9.17E-02,-9.17E-02,0,0,164.24,60
9.58E-02,-9.58E-02,0,0,153.4,60
0.1,-0.1,0,0,142.95,60
0.10417,-0.10417,0,0,133.01,60
0.10833,-0.10833,0,0,123.49,60
0.1125,-0.1125,0,0,114.49,60
0.11667,-0.11667,0,0,105.92,60
0.12083,-0.12083,0,0,97.867,60
0.125,-0.125,0,0,90.21,60
0.12917,-0.12917,0,0,83.036,60
0.13333,-0.13333,0,0,76.283,60
0.1375,-0.1375,0,0,69.994,60
0.14167,-0.14167,0,0,64.145,60
0.14583,-0.14583,0,0,58.744,60
0.15,-0.15,0,0,53.788,60
0.15417,-0.15417,0,0,49.265,60
0.15833,-0.15833,0,0,45.182,60
0.1625,-0.1625,0,0,41.515,60
0.16667,-0.16667,0,0,38.277,60
0.17083,-0.17083,0,0,35.441,60
0.175,-0.175,0,0,33.019,60
0.17917,-0.17917,0,0,30.985,60
0.18333,-0.18333,0,0,29.35,60
0.1875,-0.1875,0,0,28.095,60
0.19167,-0.19167,0,0,27.225,60
0.19583,-0.19583,0,0,26.73,60
0.2,-0.2,0,0,26.613,60
0,0,0,0,500,180
4.17E-03,-4.17E-03,0,0,490.6,180
8.33E-03,-8.33E-03,0,0,481.22,180
1.25E-02,-1.25E-02,0,0,471.85,180
1.67E-02,-1.67E-02,0,0,462.51,180
2.08E-02,-2.08E-02,0,0,453.22,180
2.50E-02,-2.50E-02,0,0,443.97,180
2.92E-02,-2.92E-02,0,0,434.78,180
3.33E-02,-3.33E-02,0,0,425.67,180
3.75E-02,-3.75E-02,0,0,416.63,180
4.17E-02,-4.17E-02,0,0,407.68,180
4.58E-02,-4.58E-02,0,0,398.83,180
5.00E-02,-5.00E-02,0,0,390.09,180
5.42E-02,-5.42E-02,0,0,381.47,180
5.83E-02,-5.83E-02,0,0,372.98,180
6.25E-02,-6.25E-02,0,0,364.62,180
6.67E-02,-6.67E-02,0,0,356.4,180
7.08E-02,-7.08E-02,0,0,348.34,180
7.50E-02,-7.50E-02,0,0,340.44,180
7.92E-02,-7.92E-02,0,0,332.71,180
8.33E-02,-8.33E-02,0,0,325.16,180
8.75E-02,-8.75E-02,0,0,317.8,180
9.17E-02,-9.17E-02,0,0,310.63,180
9.58E-02,-9.58E-02,0,0,303.67,180
0.1,-0.1,0,0,296.91,180
0.10417,-0.10417,0,0,290.38,180
0.10833,-0.10833,0,0,284.06,180
0.1125,-0.1125,0,0,277.98,180
0.11667,-0.11667,0,0,272.13,180
0.12083,-0.12083,0,0,266.53,180
0.125,-0.125,0,0,261.17,180
0.12917,-0.12917,0,0,256.07,180
0.13333,-0.13333,0,0,251.23,180
0.1375,-0.1375,0,0,246.66,180
0.14167,-0.14167,0,0,242.36,180
0.14583,-0.14583,0,0,238.33,180
0.15,-0.15,0,0,234.58,180
0.15417,-0.15417,0,0,231.11,180
0.15833,-0.15833,0,0,227.93,180
0.1625,-0.1625,0,0,225.04,180
0.16667,-0.16667,0,0,222.45,180
0.17083,-0.17083,0,0,220.14,180
0.175,-0.175,0,0,218.14,180
0.17917,-0.17917,0,0,216.44,180
0.18333,-0.18333,0,0,215.04,180
0.1875,-0.1875,0,0,213.94,180
0.19167,-0.19167,0,0,213.15,180
0.19583,-0.19583,0,0,212.66,180
0.2,-0.2,0,0,212.48,180
0,0,0,0,500,300
4.17E-03,-4.17E-03,0,0,494.48,300
8.33E-03,-8.33E-03,0,0,488.96,300
1.25E-02,-1.25E-02,0,0,483.46,300
1.67E-02,-1.67E-02,0,0,477.97,300
2.08E-02,-2.08E-02,0,0,472.5,300
2.50E-02,-2.50E-02,0,0,467.07,300
2.92E-02,-2.92E-02,0,0,461.67,300
3.33E-02,-3.33E-02,0,0,456.31,300
3.75E-02,-3.75E-02,0,0,451,300
4.17E-02,-4.17E-02,0,0,445.74,300
4.58E-02,-4.58E-02,0,0,440.53,300
5.00E-02,-5.00E-02,0,0,435.39,300
5.42E-02,-5.42E-02,0,0,430.32,300
5.83E-02,-5.83E-02,0,0,425.32,300
6.25E-02,-6.25E-02,0,0,420.4,300
6.67E-02,-6.67E-02,0,0,415.56,300
7.08E-02,-7.08E-02,0,0,410.82,300
7.50E-02,-7.50E-02,0,0,406.16,300
7.92E-02,-7.92E-02,0,0,401.61,300
8.33E-02,-8.33E-02,0,0,397.16,300
8.75E-02,-8.75E-02,0,0,392.82,300
9.17E-02,-9.17E-02,0,0,388.59,300
9.58E-02,-9.58E-02,0,0,384.48,300
0.1,-0.1,0,0,380.49,300
0.10417,-0.10417,0,0,376.63,300
0.10833,-0.10833,0,0,372.9,300
0.1125,-0.1125,0,0,369.3,300
0.11667,-0.11667,0,0,365.84,300
0.12083,-0.12083,0,0,362.52,300
0.125,-0.125,0,0,359.35,300
0.12917,-0.12917,0,0,356.32,300
0.13333,-0.13333,0,0,353.45,300
0.1375,-0.1375,0,0,350.73,300
0.14167,-0.14167,0,0,348.16,300
0.14583,-0.14583,0,0,345.76,300
0.15,-0.15,0,0,343.51,300
0.15417,-0.15417,0,0,341.44,300
0.15833,-0.15833,0,0,339.53,300
0.1625,-0.1625,0,0,337.78,300
0.16667,-0.16667,0,0,336.21,300
0.17083,-0.17083,0,0,334.81,300
0.175,-0.175,0,0,333.58,300
0.17917,-0.17917,0,0,332.52,300
0.18333,-0.18333,0,0,331.64,300
0.1875,-0.1875,0,0,330.94,300
0.19167,-0.19167,0,0,330.41,300
0.19583,-0.19583,0,0,330.06,300
0.2,-0.2,0,0,329.88,300
0,0,0,0,500,600
4.17E-03,-4.17E-03,0,0,498.46,600
8.33E-03,-8.33E-03,0,0,496.93,600
1.25E-02,-1.25E-02,0,0,495.39,600
1.67E-02,-1.67E-02,0,0,493.86,600
2.08E-02,-2.08E-02,0,0,492.34,600
2.50E-02,-2.50E-02,0,0,490.83,600
2.92E-02,-2.92E-02,0,0,489.32,600
3.33E-02,-3.33E-02,0,0,487.82,600
3.75E-02,-3.75E-02,0,0,486.34,600
4.17E-02,-4.17E-02,0,0,484.87,600
4.58E-02,-4.58E-02,0,0,483.41,600
5.00E-02,-5.00E-02,0,0,481.97,600
5.42E-02,-5.42E-02,0,0,480.55,600
5.83E-02,-5.83E-02,0,0,479.15,600
6.25E-02,-6.25E-02,0,0,477.76,600
6.67E-02,-6.67E-02,0,0,476.4,600
7.08E-02,-7.08E-02,0,0,475.06,600
7.50E-02,-7.50E-02,0,0,473.75,600
7.92E-02,-7.92E-02,0,0,472.46,600
8.33E-02,-8.33E-02,0,0,471.2,600
8.75E-02,-8.75E-02,0,0,469.96,600
9.17E-02,-9.17E-02,0,0,468.75,600
9.58E-02,-9.58E-02,0,0,467.58,600
0.1,-0.1,0,0,466.44,600
0.10417,-0.10417,0,0,465.32,600
0.10833,-0.10833,0,0,464.24,600
0.1125,-0.1125,0,0,463.2,600
0.11667,-0.11667,0,0,462.19,600
0.12083,-0.12083,0,0,461.22,600
0.125,-0.125,0,0,460.28,600
0.12917,-0.12917,0,0,459.39,600
0.13333,-0.13333,0,0,458.53,600
0.1375,-0.1375,0,0,457.71,600
0.14167,-0.14167,0,0,456.93,600
0.14583,-0.14583,0,0,456.19,600
0.15,-0.15,0,0,455.5,600
0.15417,-0.15417,0,0,454.84,600
0.15833,-0.15833,0,0,454.23,600
0.1625,-0.1625,0,0,453.66,600
0.16667,-0.16667,0,0,453.14,600
0.17083,-0.17083,0,0,452.66,600
0.175,-0.175,0,0,452.22,600
0.17917,-0.17917,0,0,451.83,600
0.18333,-0.18333,0,0,451.48,600
0.1875,-0.1875,0,0,451.18,600
0.19167,-0.19167,0,0,450.92,600
0.19583,-0.19583,0,0,450.71,600
0.2,-0.2,0,0,450.54,600
0,0,0,0,500,900
4.17E-03,-4.17E-03,0,0,499.48,900
8.33E-03,-8.33E-03,0,0,498.97,900
1.25E-02,-1.25E-02,0,0,498.45,900
1.67E-02,-1.67E-02,0,0,497.94,900
2.08E-02,-2.08E-02,0,0,497.43,900
2.50E-02,-2.50E-02,0,0,496.92,900
2.92E-02,-2.92E-02,0,0,496.41,900
3.33E-02,-3.33E-02,0,0,495.91,900
3.75E-02,-3.75E-02,0,0,495.41,900
4.17E-02,-4.17E-02,0,0,494.91,900
4.58E-02,-4.58E-02,0,0,494.41,900
5.00E-02,-5.00E-02,0,0,493.92,900
5.42E-02,-5.42E-02,0,0,493.44,900
5.83E-02,-5.83E-02,0,0,492.95,900
6.25E-02,-6.25E-02,0,0,492.48,900
6.67E-02,-6.67E-02,0,0,492.01,900
7.08E-02,-7.08E-02,0,0,491.54,900
7.50E-02,-7.50E-02,0,0,491.08,900
7.92E-02,-7.92E-02,0,0,490.63,900
8.33E-02,-8.33E-02,0,0,490.19,900
8.75E-02,-8.75E-02,0,0,489.75,900
9.17E-02,-9.17E-02,0,0,489.32,900
9.58E-02,-9.58E-02,0,0,488.9,900
0.1,-0.1,0,0,488.48,900
0.10417,-0.10417,0,0,488.08,900
0.10833,-0.10833,0,0,487.68,900
0.1125,-0.1125,0,0,487.29,900
0.11667,-0.11667,0,0,486.91,900
0.12083,-0.12083,0,0,486.54,900
0.125,-0.125,0,0,486.18,900
0.12917,-0.12917,0,0,485.83,900
0.13333,-0.13333,0,0,485.48,900
0.1375,-0.1375,0,0,485.15,900
0.14167,-0.14167,0,0,484.83,900
0.14583,-0.14583,0,0,484.52,900
0.15,-0.15,0,0,484.22,900
0.15417,-0.15417,0,0,483.93,900
0.15833,-0.15833,0,0,483.65,900
0.1625,-0.1625,0,0,483.39,900
0.16667,-0.16667,0,0,483.13,900
0.17083,-0.17083,0,0,482.89,900
0.175,-0.175,0,0,482.65,900
0.17917,-0.17917,0,0,482.43,900
0.18333,-0.18333,0,0,482.22,900
0.1875,-0.1875,0,0,482.02,900
0.19167,-0.19167,0,0,481.84,900
0.19583,-0.19583,0,0,481.66,900
0.2,-0.2,0,0,481.5,900
